column_name,source_file,tier,data_type,notes
overall_literacy,education,Tier 1,Numeric (%),Overall literacy rate (46 missing)
female_literacy,education,Tier 1,Numeric (%),Female literacy rate (43 missing)
male_literacy,education,Tier 1,Numeric (%),Male literacy rate (42 missing)
total_enrollment,education,Tier 1,Integer,Total student enrollment
govt_enrollment / private_enrollment,education,Tier 1,Integer,Enrollment split by school management type
pct_govt_enrollment / pct_private_enrollment,education,"Tier 1, DERIVED",Numeric (%),Share of students in govt vs private schools
school_age_population,education,Tier 1,Integer,Population aged 6-15 (46 missing)
primary/upper_primary_pupil_teacher_ratio,education,Tier 1,Numeric,School capacity indicator
total_schools,education,Tier 1,Integer,Total schools in district
schools_with_water/electricity/toilets/road,education,Tier 1,Integer,Facility counts
pct_schools_water/electricity/road/girls_toilet,education,"Tier 1, DERIVED",Numeric (%),Facility completeness percentages
dropout_rate_pct,education,"Tier 1, DERIVED",Numeric (%),"Computed from class-wise dropout/enrollment, classes 1-8"
girl_dropout_rate / boy_dropout_rate,education,Equity,"Numeric (%), DERIVED",Dropout rate computed separately by gender
dropout_gender_gap,education,Equity,"Numeric (%), DERIVED",girl_dropout_rate minus boy_dropout_rate
literacy_gender_gap,education,Equity,"Numeric (%), DERIVED",male_literacy minus female_literacy
toilet_gender_gap,education,Equity,"Integer, DERIVED",Girls toilets minus boys toilets (count)
pct_sc_population / pct_st_population,education,"Equity, context only",Numeric (%),NEVER used as a model feature — fairness-check context only
Repeater rates (C1_BR...C8_GR),education,Tier 2 - reserved,Integer,Not yet extracted — for diagnostic drill-down later
Teacher training/qualification %,education,Tier 2 - reserved,Numeric (%),Not yet extracted
Grade-wise enrollment drop-off,education,Tier 2 - reserved,Integer,Not yet extracted — shows which class transition is worst
"Other facilities (library, computer, playground)",education,Tier 2 - reserved,Integer,Not yet extracted
institutional_births_pct,health,Tier 1,Numeric (%),"Clean, 0 missing"
full_immunization_pct,health,Tier 1,Numeric (%),"Cleaned from * markers, 13 missing"
stunted_pct / wasted_pct / underweight_pct,health,Tier 1,Numeric (%),Chronic (stunting) + acute (wasting) + general (underweight) malnutrition
child_anaemia_pct,health,Tier 1,Numeric (%),"Clean, 0 missing"
pregnant_women_anaemia_pct,health,Tier 1,Numeric (%),"134 missing (19%) — small sample sizes in some districts, documented"
diarrhoea_prevalence_pct / ari_prevalence_pct,health,Tier 1,Numeric (%),"Childhood illness prevalence, 0 missing"
antenatal_care_4visits_pct / postnatal_care_pct,health,Tier 1,Numeric (%),Maternal care quality indicators
household_electricity/water/sanitation_pct,health,Tier 1,Numeric (%),Living conditions
health_insurance_pct,health,Tier 1,Numeric (%),Healthcare access equity
womens_literacy_health_survey,health,"Tier 1, cross-check",Numeric (%),Independent literacy figure — validated 0.885 correlation with DISE female_literacy
exclusive_breastfed_pct,health,EXCLUDED,—,86% of districts have unreliable/missing data (* marker) — dropped entirely
"Individual vaccines (BCG, polio, DPT, measles, rotavirus, HepB)",health,Tier 2 - reserved,Numeric (%),Not yet extracted — for diagnostic drill-down
ORS/zinc treatment for diarrhoea,health,Tier 2 - reserved,Numeric (%),Not yet extracted
Public vs private facility usage,health,Tier 2 - reserved,Numeric (%),Not yet extracted
C-section rates (public vs private),health,Tier 2 - reserved,Numeric (%),Not yet extracted
Adult blood pressure/blood sugar,health,OUT OF SCOPE,—,Different project (adult chronic disease) — documented exclusion
"Cancer screening, tobacco, alcohol",health,OUT OF SCOPE,—,Different project (adult lifestyle risk) — documented exclusion
Family planning method details,health,OUT OF SCOPE,—,"Reproductive health access — separate scope, not core to this project"
